                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.63788,                0.39054,                0.97588,                0.99043,                      1,                  0.995,                0.87837,                0.55482,                0.40543,                0.94933,              0.0015604,              0.0015604,              0.0015604
                    113,                0.58261,                0.36428,                0.90785,                0.98607,                      1,                  0.995,                0.86423,                0.59947,                0.44768,                0.97115,              0.0015565,              0.0015565,              0.0015565
                    114,                0.55744,                0.38151,                0.91052,                 0.9845,                      1,                  0.995,                0.85688,                0.62467,                0.45786,                0.99519,              0.0015525,              0.0015525,              0.0015525
                    115,                0.55537,                0.38807,                0.91724,                0.98508,                      1,                  0.995,                0.83426,                 0.6238,                0.51198,                 1.0048,              0.0015486,              0.0015486,              0.0015486
                    116,                0.54507,                0.37122,                 0.9003,                0.98965,                      1,                  0.995,                0.82019,                0.64368,                0.42019,                0.99327,              0.0015446,              0.0015446,              0.0015446
                    117,                0.56978,                0.38793,                0.92745,                0.99347,                      1,                  0.995,                0.80071,                0.66391,                 0.4466,                0.98833,              0.0015406,              0.0015406,              0.0015406
                    118,                0.53045,                0.34979,                0.89936,                0.96907,                      1,                  0.995,                 0.8064,                0.65976,                0.65972,                0.99862,              0.0015367,              0.0015367,              0.0015367
                    119,                0.50697,                 0.3497,                 0.8694,                0.95764,                      1,                  0.995,                 0.7996,                0.69026,                0.89866,                 1.0087,              0.0015327,              0.0015327,              0.0015327
                    120,                0.48082,                0.33435,                0.86425,                0.97193,                      1,                  0.995,                0.80949,                0.63454,                 1.0696,                0.99487,              0.0015288,              0.0015288,              0.0015288
                    121,                0.51195,                0.34523,                 0.8932,                0.98305,                      1,                  0.995,                0.84024,                0.57504,                0.90356,                0.96612,              0.0015248,              0.0015248,              0.0015248
                    122,                0.56982,                0.42162,                0.92115,                0.99371,                      1,                  0.995,                0.84687,                0.57766,                0.58324,                 0.9536,              0.0015208,              0.0015208,              0.0015208
                    123,                0.53653,                0.37339,                0.89279,                0.99521,                      1,                  0.995,                0.85375,                0.57756,                0.38892,                0.94664,              0.0015169,              0.0015169,              0.0015169
