                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.55553,                0.40831,                0.90595,                      1,                0.97516,                  0.995,                0.82719,                0.71808,                0.83121,                0.97499,              0.0018178,              0.0018178,              0.0018178
                     48,                0.63455,                0.43861,                 0.9753,                0.99428,                0.86667,                0.91795,                 0.7618,                0.72532,                0.65822,                 1.0011,              0.0018139,              0.0018139,              0.0018139
                     49,                 0.6316,                0.46439,                0.92184,                0.99163,                0.93333,                0.95337,                0.81284,                0.72846,                 0.5266,                 1.0067,              0.0018099,              0.0018099,              0.0018099
                     50,                0.60081,                0.44865,                0.93226,                0.98914,                      1,                  0.995,                0.85653,                0.69013,                0.43484,                0.96321,               0.001806,               0.001806,               0.001806
                     51,                0.63105,                0.43893,                0.92748,                0.97189,                      1,                  0.995,                0.85169,                 0.6498,                0.44262,                0.96853,               0.001802,               0.001802,               0.001802
                     52,                0.64901,                0.43634,                0.93015,                0.96261,                      1,                  0.995,                0.86283,                0.63973,                 0.4589,                0.98266,               0.001798,               0.001798,               0.001798
                     53,                0.64379,                0.44148,                0.94094,                0.96046,                      1,                  0.995,                0.85483,                0.62957,                0.44143,                0.97494,              0.0017941,              0.0017941,              0.0017941
                     54,                0.60044,                0.42392,                0.89586,                0.98369,                      1,                  0.995,                 0.8396,                0.61863,                0.38217,                0.95282,              0.0017901,              0.0017901,              0.0017901
                     55,                0.62175,                0.43645,                0.90996,                0.98462,                      1,                  0.995,                0.81846,                0.73254,                0.41393,                0.97163,              0.0017862,              0.0017862,              0.0017862
                     56,                0.55764,                0.41221,                0.89857,                0.97439,                      1,                  0.995,                0.82003,                 0.7503,                0.42104,                0.96846,              0.0017822,              0.0017822,              0.0017822
                     57,                0.55828,                0.41285,                0.89709,                0.99556,                      1,                  0.995,                0.83869,                0.68091,                0.41275,                0.96393,              0.0017782,              0.0017782,              0.0017782
                     58,                0.57893,                0.40638,                0.89516,                0.99452,                      1,                  0.995,                0.84416,                0.62362,                 0.3872,                0.95682,              0.0017743,              0.0017743,              0.0017743
                     59,                0.61321,                0.41809,                0.90363,                0.99492,                      1,                  0.995,                0.82413,                0.59625,                0.35672,                0.93877,              0.0017703,              0.0017703,              0.0017703
                     60,                0.56746,                 0.4101,                0.91447,                0.99458,                      1,                  0.995,                 0.8784,                0.57623,                 0.3857,                0.93804,              0.0017664,              0.0017664,              0.0017664
                     61,                0.57024,                0.40589,                0.90388,                0.99416,                      1,                  0.995,                0.87314,                0.60476,                0.43198,                 0.9458,              0.0017624,              0.0017624,              0.0017624
                     62,                0.59758,                0.41857,                0.96733,                0.99517,                      1,                  0.995,                0.86278,                0.61093,                0.37239,                0.94103,              0.0017584,              0.0017584,              0.0017584
                     63,                0.51536,                0.36687,                0.88701,                0.99228,                      1,                  0.995,                0.80196,                0.70389,                0.39409,                0.95955,              0.0017545,              0.0017545,              0.0017545
                     64,                0.55914,                 0.3932,                0.87969,                0.99076,                      1,                  0.995,                0.79429,                0.65007,                0.37771,                0.95779,              0.0017505,              0.0017505,              0.0017505
                     65,                0.57714,                0.41874,                0.88188,                0.98465,                      1,                  0.995,                0.84428,                0.59677,                0.34958,                0.95587,              0.0017466,              0.0017466,              0.0017466
                     66,                0.56299,                0.39666,                0.87166,                0.98689,                      1,                  0.995,                0.86698,                0.60099,                0.33321,                0.95607,              0.0017426,              0.0017426,              0.0017426
                     67,                0.55073,                0.39019,                0.90089,                0.98836,                      1,                  0.995,                   0.83,                0.64849,                0.40041,                0.96055,              0.0017386,              0.0017386,              0.0017386
                     68,                0.57845,                0.38463,                0.89497,                0.99204,                      1,                  0.995,                0.83413,                0.59453,                0.32702,                0.94007,              0.0017347,              0.0017347,              0.0017347
                     69,                0.60509,                0.42265,                0.91038,                0.99575,                      1,                  0.995,                0.86235,                0.54094,                 0.3071,                0.92384,              0.0017307,              0.0017307,              0.0017307
                     70,                0.57991,                0.39545,                0.88118,                0.99601,                      1,                  0.995,                0.89025,                0.53352,                 0.2936,                0.91819,              0.0017268,              0.0017268,              0.0017268
                     71,                0.60078,                0.41026,                0.91661,                0.99494,                      1,                  0.995,                0.87717,                0.56701,                0.33499,                0.92915,              0.0017228,              0.0017228,              0.0017228
                     72,                0.59581,                0.41645,                0.92091,                0.99499,                      1,                  0.995,                0.85146,                0.60877,                 0.3555,                0.94061,              0.0017188,              0.0017188,              0.0017188
