                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.57985,                0.57296,                0.88223,                0.99554,                      1,                  0.995,                0.87328,                0.63906,                0.57598,                 0.9481,              0.0017743,              0.0017743,              0.0017743
                     59,                0.57593,                0.57007,                0.89934,                0.99638,                      1,                  0.995,                0.88725,                0.57645,                0.54529,                0.94293,              0.0017703,              0.0017703,              0.0017703
                     60,                0.58562,                0.54384,                 0.9073,                 0.9963,                      1,                  0.995,                0.86375,                0.57612,                0.46769,                0.93251,              0.0017664,              0.0017664,              0.0017664
                     61,                0.55905,                0.53884,                0.88398,                 0.9963,                      1,                  0.995,                0.85642,                0.60864,                0.51408,                0.93684,              0.0017624,              0.0017624,              0.0017624
                     62,                0.64466,                0.59278,                 0.9568,                0.99621,                      1,                  0.995,                0.86992,                 0.5917,                0.52785,                0.93294,              0.0017584,              0.0017584,              0.0017584
                     63,                0.54522,                0.55518,                0.87824,                0.99627,                      1,                  0.995,                0.86187,                0.54184,                0.50245,                0.92059,              0.0017545,              0.0017545,              0.0017545
                     64,                0.58265,                0.56761,                0.86641,                0.99576,                      1,                  0.995,                0.85562,                0.51875,                0.52881,                0.92428,              0.0017505,              0.0017505,              0.0017505
                     65,                0.62282,                 0.5677,                 0.8646,                0.99458,                      1,                  0.995,                0.85189,                 0.5575,                    0.6,                0.92785,              0.0017466,              0.0017466,              0.0017466
                     66,                0.54265,                0.53486,                0.85482,                0.99367,                      1,                  0.995,                0.85422,                0.60708,                0.63757,                0.93461,              0.0017426,              0.0017426,              0.0017426
                     67,                0.56916,                0.52746,                0.88216,                0.99286,                      1,                  0.995,                0.87496,                0.58393,                0.63562,                0.93985,              0.0017386,              0.0017386,              0.0017386
                     68,                0.58007,                 0.5068,                 0.8881,                0.99322,                      1,                  0.995,                0.87495,                 0.6071,                0.54487,                 0.9491,              0.0017347,              0.0017347,              0.0017347
                     69,                0.60896,                0.54177,                 0.9062,                0.99532,                      1,                  0.995,                0.86959,                0.59613,                0.45584,                0.95628,              0.0017307,              0.0017307,              0.0017307
                     70,                0.57569,                  0.525,                0.88345,                0.99624,                      1,                  0.995,                0.82584,                0.68235,                0.42649,                0.95946,              0.0017268,              0.0017268,              0.0017268
                     71,                0.62939,                0.54103,                 0.9109,                0.99649,                      1,                  0.995,                0.82509,                0.66246,                0.40917,                0.94829,              0.0017228,              0.0017228,              0.0017228
                     72,                  0.653,                0.56396,                0.91576,                0.99637,                      1,                  0.995,                0.87761,                0.55747,                0.39793,                0.93404,              0.0017188,              0.0017188,              0.0017188
                     73,                0.53817,                0.49867,                0.87998,                0.99626,                      1,                  0.995,                0.87836,                0.49725,                0.38159,                0.92711,              0.0017149,              0.0017149,              0.0017149
                     74,                0.61209,                0.53069,                0.90374,                0.99619,                      1,                  0.995,                0.87043,                 0.5411,                0.40296,                0.92935,              0.0017109,              0.0017109,              0.0017109
                     75,                0.49794,                0.49014,                0.85848,                0.99557,                      1,                  0.995,                0.84001,                0.60085,                0.42523,                0.93339,               0.001707,               0.001707,               0.001707
                     76,                0.55653,                 0.4875,                0.89329,                0.99586,                      1,                  0.995,                0.84166,                0.64388,                0.39634,                0.94184,               0.001703,               0.001703,               0.001703
                     77,                0.59319,                0.47843,                0.90315,                0.99636,                      1,                  0.995,                0.86611,                   0.62,                 0.3711,                0.94362,               0.001699,               0.001699,               0.001699
                     78,                0.54858,                0.49876,                0.89845,                0.99666,                      1,                  0.995,                 0.8802,                0.59396,                0.37005,                0.93552,              0.0016951,              0.0016951,              0.0016951
                     79,                 0.5026,                0.47373,                0.86299,                0.99665,                      1,                  0.995,                0.88174,                0.56989,                0.39378,                0.92768,              0.0016911,              0.0016911,              0.0016911
                     80,                0.48723,                0.47854,                0.85059,                0.99668,                      1,                  0.995,                0.88549,                0.55092,                 0.3559,                0.92598,              0.0016872,              0.0016872,              0.0016872
                     81,                0.51984,                0.47426,                0.89074,                0.99673,                      1,                  0.995,                0.89367,                0.53069,                 0.3702,                0.92659,              0.0016832,              0.0016832,              0.0016832
                     82,                0.52624,                0.46778,                0.87841,                0.99668,                      1,                  0.995,                0.86674,                0.53614,                0.38626,                0.92718,              0.0016792,              0.0016792,              0.0016792
                     83,                0.56208,                0.49939,                0.88443,                0.99664,                      1,                  0.995,                0.85319,                0.58669,                0.40296,                0.93217,              0.0016753,              0.0016753,              0.0016753
                     84,                 0.5233,                0.45299,                0.87558,                0.99649,                      1,                  0.995,                0.86206,                 0.5901,                0.36611,                0.93525,              0.0016713,              0.0016713,              0.0016713
                     85,                0.56318,                0.48171,                0.89087,                0.99655,                      1,                  0.995,                0.85851,                 0.5874,                0.35974,                0.93052,              0.0016674,              0.0016674,              0.0016674
                     86,                0.50118,                0.46281,                0.87823,                0.99662,                      1,                  0.995,                0.84502,                0.60654,                0.33664,                0.93141,              0.0016634,              0.0016634,              0.0016634
